233056,,Apiognomonia errabunda,svamp,Art,2,Skog (S) - Stor betydelse,LC,,,Sapro;;
257647,rödnäbb,Apiognomonia erythrostoma,svamp,Art,0,,NE,,,Sapro;;
233105,,Apiognomonia hystrix,svamp,Art,0,Skog (S) - Stor betydelse,NA,,,Sapro;;
257652,,Apiognomonia petiolicola,svamp,Art,0,,NE,,,Sapro;;
257653,,Apiospora parallela,svamp,Art,0,,NE,,,Sapro;;
233059,,Apiosporopsis carpinea,svamp,Art,0,Skog (S) - Stor betydelse,LC,,,Sapro;;
252390,,Apiothyrium arcticum,svamp,Art,0,Fjäll (F) - Stor betydelse,NE,,,Sapro;;
257654,,Apodospora gotlandica,svamp,Art,0,,NE,,,Sapro;;
257655,,Apodospora simulans,svamp,Art,2,,NE,,,Sapro;;
257656,,Aporhytisma urticae,svamp,Art,44,,NE,,,Sapro;;
2047,narrporing,Aporpium canescens,svamp,Art,17,Skog (S) - Stor betydelse,VU,D1,,Sapro;;
3017,,Arachnocrea stipata,svamp,Art,5,Skog (S) - Har betydelse,LC,,,Sapro;;
3018,,Arachnopeziza aurata,svamp,Art,9,Skog (S) - Stor betydelse,LC,,,Sapro;;
3019,,Arachnopeziza aurelia,svamp,Art,8,Skog (S) - Stor betydelse,LC,,,Sapro;;
3021,,Arachnopeziza cornuta,svamp,Art,1,Skog (S) - Stor betydelse,LC,,,Sapro;;
3022,vit spinnskål,Arachnopeziza floriphila,svamp,Art,2,Skog (S) - Stor betydelse,LC,,,Sapro;;
3020,,Arachnopeziza leonina,svamp,Art,0,Skog (S) - Stor betydelse,NA,,,Sapro;;
3023,,Arcticomyces warmingii,svamp,Art,0,Fjäll (F) - Stor betydelse,LC,,,Sapro;;
233060,,Arenariomyces trifurcatus,svamp,Art,0,Havsstrand (H) - Stor betydelse,NE,,,Sapro;;
3033,vanlig honungsskivling,Armillaria borealis,svamp,Art,1726,Skog (S) - Stor betydelse,LC,,,Par;;
3033,vanlig honungsskivling,Armillaria borealis,svamp,Art,1726,Skog (S) - Stor betydelse,LC,,,Sapro;;
3034,finfjällig honungsskivling,Armillaria cepistipes,svamp,Art,60,Skog (S) - Stor betydelse,LC,,,Par;;
3034,finfjällig honungsskivling,Armillaria cepistipes,svamp,Art,60,Skog (S) - Stor betydelse,LC,,,Sapro;;
87,kärrhonungsskivling,Armillaria ectypa,svamp,Art,35,Våtmark (V) - Stor betydelse,LC,,,Sapro;;
236441,klubbhonungsskivling,Armillaria lutea,svamp,Art,373,Skog (S) - Stor betydelse,LC,,,Par;;
236441,klubbhonungsskivling,Armillaria lutea,svamp,Art,373,Skog (S) - Stor betydelse,LC,,,Sapro;;
3036,sydlig honungsskivling,Armillaria mellea,svamp,Art,2872,Skog (S) - Stor betydelse,,,,Par;;
3036,sydlig honungsskivling,Armillaria mellea,svamp,Art,2872,Skog (S) - Stor betydelse,,,,Sapro;;
3037,mörkfjällig honungsskivling,Armillaria ostoyae,svamp,Art,114,Skog (S) - Stor betydelse,LC,,,Par;;
3037,mörkfjällig honungsskivling,Armillaria ostoyae,svamp,Art,114,Skog (S) - Stor betydelse,LC,,,Sapro;;
257672,,Arnaudiella empetri,svamp,Art,0,,NE,,,Par;;
257672,,Arnaudiella empetri,svamp,Art,0,,NE,,,Sapro;;
257673,,Arnaudiella genistae,svamp,Art,0,,NE,,,Par;;
257673,,Arnaudiella genistae,svamp,Art,0,,NE,,,Sapro;;
257674,,Arnium arizonense,svamp,Art,0,,NE,,,Sapro;;
257677,,Arnium caballinum,svamp,Art,1,,NE,,,Sapro;;
257678,,Arnium cirriferum,svamp,Art,0,,NE,,,Sapro;;
257908,,Arnium hirtum,svamp,Art,1,,NE,,,Sapro;;
257909,,Arnium inaequilaterale,svamp,Art,1,,NE,,,Sapro;;
